"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что успешное удаление возвращает 200 и {""ok"": true}","2221","Курьера можно удалить, передав его id","tests","2026-09-11","passed","2026-09-11","TestDeleteCourier","test_delete_courier","",""
"Проверяем, что DELETE /courier/ без id возвращает 404","748","Запрос удаления без id возвращает ошибку","tests","2026-09-11","passed","2026-09-11","TestDeleteCourier","test_delete_courier","",""
"Проверяем, что удаление курьера с несуществующим id возвращает 404","708","Запрос удаления с несуществующим id возвращает ошибку","tests","2026-09-11","passed","2026-09-11","TestDeleteCourier","test_delete_courier","",""
"Проверяем, что запрос с несуществующим треком возвращает 404","701","Запрос заказа с несуществующим трек-номером возвращает ошибку","tests","2026-09-11","passed","2026-09-11","TestGetOrderByTrack","test_get_order_by_track","",""
"Проверяем, что запрос без параметра courierId возвращает 400","1384","Нельзя принять заказ без id курьера","tests","2026-09-11","passed","2026-09-11","TestAcceptOrder","test_accept_order","",""
"Проверяем, что GET /orders возвращает 200 и ключ orders со списком в теле","14681","В ответе на запрос списка заказов возвращается список заказов","tests","2026-09-11","passed","2026-09-11","TestOrdersList","test_get_orders_list","",""
"Проверяем, что запрос с неверным id заказа возвращает 404","702","Нельзя принять заказ с несуществующим id заказа","tests","2026-09-11","passed","2026-09-11","TestAcceptOrder","test_accept_order","",""
"Проверяем, что заказ создаётся с любым набором цветов и в ответе есть track","1504","Создание заказа с цветом: ['GREY']","tests","2026-09-11","passed","2026-09-11","TestCreateOrder","test_create_order","",""
"Проверяем, что заказ создаётся с любым набором цветов и в ответе есть track","1436","Создание заказа с цветом: None","tests","2026-09-11","passed","2026-09-11","TestCreateOrder","test_create_order","",""
"Проверяем, что логин с неправильным паролем возвращает 404","680","Система возвращает ошибку при неверном пароле","tests","2026-09-11","passed","2026-09-11","TestLoginCourier","test_login_courier","",""
"Проверяем, что повторная регистрация с тем же логином возвращает 409","702","Нельзя создать двух курьеров с одинаковым логином","tests","2026-09-11","passed","2026-09-11","TestCreateCourier","test_create_courier","",""
"Проверяем, что запрос с неверным courierId возвращает 404","1445","Нельзя принять заказ с несуществующим id курьера","tests","2026-09-11","passed","2026-09-11","TestAcceptOrder","test_accept_order","",""
"Проверяем, что запрос с пустым полем password возвращает 400","659","Нельзя авторизоваться без пароля","tests","2026-09-11","passed","2026-09-11","TestLoginCourier","test_login_courier","",""
"Проверяем, что заказ создаётся с любым набором цветов и в ответе есть track","1406","Создание заказа с цветом: ['BLACK']","tests","2026-09-11","passed","2026-09-11","TestCreateOrder","test_create_order","",""
"Проверяем, что успешный запрос возвращает 200 и объект заказа с этим треком","733","По трек-номеру можно получить заказ","tests","2026-09-11","passed","2026-09-11","TestGetOrderByTrack","test_get_order_by_track","",""
"Проверяем, что запрос без поля password возвращает 400","736","Нельзя создать курьера без пароля","tests","2026-09-11","passed","2026-09-11","TestCreateCourier","test_create_courier","",""
"Проверяем, что заказ создаётся с любым набором цветов и в ответе есть track","1503","Создание заказа с цветом: ['BLACK', 'GREY']","tests","2026-09-11","passed","2026-09-11","TestCreateOrder","test_create_order","",""
"Проверяем, что запрос без поля login возвращает 400","786","Нельзя создать курьера без логина","tests","2026-09-11","passed","2026-09-11","TestCreateCourier","test_create_courier","",""
"Проверяем, что запрос без параметра t возвращает 400","704","Запрос заказа без трек-номера возвращает ошибку","tests","2026-09-11","passed","2026-09-11","TestGetOrderByTrack","test_get_order_by_track","",""
"Проверяем, что логин с несуществующей парой логин-пароль возвращает 404","678","Система возвращает ошибку при авторизации несуществующим пользователем","tests","2026-09-11","passed","2026-09-11","TestLoginCourier","test_login_courier","",""
"Проверяем, что успешный логин возвращает 200 и id курьера в теле ответа","13265","Курьер может авторизоваться с валидными логином и паролем","tests","2026-09-11","passed","2026-09-11","TestLoginCourier","test_login_courier","",""
"Проверяем, что запрос с логином, паролем и именем возвращает 201 и {""ok"": true}","760","Курьера можно создать, передав все обязательные поля","tests","2026-09-11","passed","2026-09-11","TestCreateCourier","test_create_courier","",""
"Проверяем, что запрос с пустым полем login возвращает 400","667","Нельзя авторизоваться без логина","tests","2026-09-11","passed","2026-09-11","TestLoginCourier","test_login_courier","",""
"Проверяем, что успешный запрос возвращает 200 и {""ok"": true}","1456","Заказ можно принять, передав id заказа и id курьера","tests","2026-09-11","passed","2026-09-11","TestAcceptOrder","test_accept_order","",""
"Проверяем, что запрос без id заказа в пути возвращает 404","696","Нельзя принять заказ без id заказа","tests","2026-09-11","passed","2026-09-11","TestAcceptOrder","test_accept_order","",""
